logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id
2.91814506617824,12.009822858535,11.2889518032514,4.24660083113083e-22,7.99422606460379e-18,39.4464529257075,FLT1
4.48953206147739,11.2260460406051,11.0180144838794,2.3523528001774e-21,2.21415207316698e-17,37.786197869977,FSTL3
2.3503550751482,10.2437389809363,10.8771096969966,5.71885505052802e-21,3.58858154420633e-17,36.9244896069281,FLNB
3.20979612450298,8.6919489649172,10.2323443982318,3.25970100526074e-19,1.53409678560084e-15,33.0017667614295,COL17A1
2.38285397437182,11.0380548950764,10.0808915680074,8.37258592860363e-19,3.10150598939231e-15,32.0863599104566,NDRG1
2.26390709156177,9.33110771263057,10.0541795693285,9.88527805384002e-19,3.10150598939231e-15,31.9251885827898,SH3PXD2A
3.19398379569911,9.93882288194905,9.93556503037118,2.06440154811601e-18,5.34068537951135e-15,31.2105824898967,SASH1
1.96704038481971,7.37364191784713,9.92027782379612,2.26961397270071e-18,5.34068537951135e-15,31.1186144844009,SPAG4
4.18298353638762,11.3876864365159,9.81749865368516,4.288448987063e-18,8.9700057979401e-15,30.5011065956107,HTRA4
1.12417236412639,7.24014312374522,9.65897164772413,1.1408776835034e-17,2.14770223919514e-14,29.5515711382411,MYO7B
2.04919527836394,9.4264759001465,9.61748901205544,1.47286084197684e-17,2.52060048638309e-14,29.3037144647737,P4HA1
1.38583502942735,9.63405016770064,9.56052464140602,2.09068952684873e-17,3.2064524348637e-14,28.9637875997341,SMARCA1
1.73368863098578,9.33963432836306,9.53399371975353,2.46073630859098e-17,3.2064524348637e-14,28.8056423093977,TPBG
2.78417722327532,9.3220493741656,9.52211771983798,2.64685452267259e-17,3.2064524348637e-14,28.7348883749218,SH3BP5
1.62707502731906,11.6439319654777,9.52038770342349,2.6751120541694e-17,3.2064524348637e-14,28.7245833055061,KRT19
7.04376407688475,10.1628231319236,9.51736111255173,2.72527165778588e-17,3.2064524348637e-14,28.706556180397,LEP
3.49232187407892,7.14626546274522,9.38705406823533,6.0552090735241e-17,6.70525357700536e-14,27.9318447676951,DIO2
1.75048491508551,6.78413895473885,9.35423572257626,7.40034455786739e-17,7.73952701676965e-14,27.7371825001018,PPP1R1C
1.41923437071335,7.88964357275159,9.33664825746508,8.23962403670922e-17,8.1637327626869e-14,27.6329392071307,CST6
1.07366958787631,9.12842683173885,9.29750316529738,1.04631893573939e-16,9.84847698264705e-14,27.4011161358263,EFNB1
1.45566524062119,9.44745496664331,9.28892897826708,1.1024896648885e-16,9.8830323531076e-14,27.3503748344685,OCRL
1.31522574584133,8.18412140390446,9.25709211945542,1.33859706767403e-16,1.14541317268017e-13,27.1620825658167,MICAL3
1.89646277245759,10.3903351067771,9.14460549813489,2.65312057728533e-16,2.14823407663063e-13,26.4982951028921,PROCR
1.01724494798781,9.82368561128025,9.13937077806817,2.73878448016654e-16,2.14823407663063e-13,26.4674626410881,RFK
2.13250075976585,8.77768156915287,9.12813307523798,2.93208992344049e-16,2.20786371235069e-13,26.4012903390051,ARHGAP45
1.94059645579942,9.2054971806879,9.07762309803879,3.9826791792969e-16,2.88361290577939e-13,26.104167182821,SFXN3
2.26013573333932,9.38366890556688,9.0322340764869,5.2420649682038e-16,3.65488418616431e-13,25.8375939146216,C12orf75
1.40703955010893,10.3426112858726,8.91282793043955,1.0778296491156e-15,7.24647969450042e-13,25.1382962247914,PIK3CB
2.94755442968581,9.68641117173885,8.84241022085193,1.64647823640255e-15,1.06879147587166e-12,24.7272886454062,BHLHE40
1.45426428963762,8.65793252775159,8.83025151537005,1.77125282986079e-15,1.11146115073765e-12,24.6564291587614,PLEKHA2
0.933442296142641,12.1999820528662,8.77612068999808,2.45102949730869e-15,1.48840742860762e-12,24.3413516343821,HEXB
1.89284916703073,10.2593460369618,8.76406474078447,2.63468526851122e-15,1.54993594311636e-12,24.2712656828043,ERO1A
1.90368179459241,8.38321231333121,8.75801673131379,2.73190564117748e-15,1.55842799076261e-12,24.2361183854937,TET3
1.48411480721682,8.0796030258344,8.73586438924657,3.11943412805175e-15,1.72715727825218e-12,24.1074523232171,WDR60
-2.92676993119438,7.18023423519108,-8.73015768496588,3.227818462491e-15,1.73610521589694e-12,24.0743242385433,CALHM4
1.68563640282927,7.07234776705733,8.72362838294413,3.35642248092117e-15,1.75512925564836e-12,24.0364298665415,PRKD3
3.69507610465272,8.42394430325478,8.71382161032857,3.55920773839801e-15,1.81086718041466e-12,23.9795319820202,TMEM45A
1.70787582921478,8.90122782061147,8.57955796541463,7.92837271118493e-15,3.92767411284359e-12,23.2027725949477,MTSS1L
1.65574249885713,11.318183596707,8.55002464034741,9.45033856991111e-15,4.56160573278402e-12,23.03248108372,MME
2.3934831565789,11.5114516105223,8.5301963537555,1.06315948173772e-14,5.00349431092814e-12,22.9182672518212,SIGLEC6
1.47143522594711,11.5266431410191,8.51805746203349,1.14259601955252e-14,5.24618782148198e-12,22.8483924565379,LDHA
2.6886811084413,8.60538836450319,8.47679654148919,1.45930878065624e-14,6.54083042758423e-12,22.6111524994605,NPNT
2.42474690286654,7.99270413776433,8.45237504924697,1.68636331248357e-14,7.38274171104724e-12,22.4709328983674,RASEF
0.827935181021377,7.322585346,8.44622606416633,1.74885634967364e-14,7.48232290513778e-12,22.4356509813364,KYAT1
-0.967454391575976,10.2659871194841,-8.43845556706532,1.8311274682103e-14,7.66021657534643e-12,22.391078600629,ELMO1
2.07475825447164,9.33483596302548,8.41853374510578,2.06002699539823e-14,8.26140270735166e-12,22.2768741900577,LIMD1
2.729086751626,8.94640576796815,8.41832189181123,2.0626078472538e-14,8.26140270735166e-12,22.2756602508391,INHA
2.2203425561552,12.2657015089236,8.4124970591898,2.13483871533221e-14,8.37257058669351e-12,22.2422878556511,INHBA
-1.08081614751394,11.148388198535,-8.39763847443379,2.33066647247375e-14,8.95404007026906e-12,22.1571970161436,TRPV6
1.9698712708257,11.436625923121,8.38686608844617,2.48369409622402e-14,9.35110827228343e-12,22.0955417523073,ENG
-1.308568257881,9.30114771645223,-8.3652228693841,2.82193875502586e-14,1.04162739339925e-11,21.9717574320815,TMEM139
1.21589957122244,9.33627868004459,8.35707512364357,2.96079562303401e-14,1.07186495391568e-11,21.9251891034634,ERGIC1
1.4748013612548,9.7915987712293,8.32890429407544,3.49524388705417e-14,1.21218793438287e-11,21.7643113984591,IPMK
1.31193110026006,7.10351341285987,8.32615436693586,3.55228500063418e-14,1.21218793438287e-11,21.748618184952,PHYHIP
-1.12661678880366,7.9232695533121,-8.32352721555483,3.6076420426588e-14,1.21218793438287e-11,21.7336274670062,EPHB6
2.18181281912345,10.3283828668344,8.32011007014498,3.68092802797998e-14,1.21218793438287e-11,21.7141316813281,NECTIN4
